"","yr1status","YrFireName","Species","DBH_cm","Genus_species","CVS_percent","BCHM_m","BTL"
"6031",0,"2006 - Shake Table","ABCO",38.1,"Abies_concolor",50,1.52,1
"6032",0,"2003 - B and B","ABCO",45.212,"Abies_concolor",0,0.3,0
"6033",0,"2003 - B and B","ABCO",42.672,"Abies_concolor",85,3.35,0
"6034",0,"2006 - Shake Table","ABCO",27.94,"Abies_concolor",35,7.62,0
"6035",0,"2003 - B and B","ABCO",69.85,"Abies_concolor",85,0,0
"6036",0,"2003 - B and B","ABCO",54.864,"Abies_concolor",70,8.23,1
"6037",0,"2002 - Biscuit","ABCO",30.48,"Abies_concolor",92,4.88,0
"6038",0,"2006 - Shake Table","ABCO",73.66,"Abies_concolor",40,0.3,1
"6039",0,"2006 - Shake Table","ABCO",53.34,"Abies_concolor",0,0.91,1
"6040",0,"2003 - B and B","ABCO",39.116,"Abies_concolor",50,4.27,1
"6041",0,"2002 - Biscuit","ABCO",33.02,"Abies_concolor",0,3.66,0
"6042",0,"2003 - B and B","ABCO",86.614,"Abies_concolor",20,7.01,1
"6043",0,"2003 - B and B","ABCO",38.354,"Abies_concolor",80,5.18,1
"6044",0,"2006 - Shake Table","ABCO",78.74,"Abies_concolor",10,6.71,1
"6045",0,"2006 - Shake Table","ABCO",76.2,"Abies_concolor",30,7.32,1
"6046",0,"2003 - B and B","ABCO",46.482,"Abies_concolor",99,2.44,0
"6047",0,"2007 - Grapple","ABCO",22.86,"Abies_concolor",60,2.44,0
"6048",1,"2002 - Biscuit","ABCO",17.78,"Abies_concolor",43,4.57,0
"6049",0,"2006 - Shake Table","ABCO",71.12,"Abies_concolor",90,15.24,0
"6050",0,"2006 - Shake Table","ABCO",58.42,"Abies_concolor",45,8.53,1
"6051",0,"2006 - Shake Table","ABCO",30.48,"Abies_concolor",50,1.22,0
"6052",0,"2003 - Davis Lake","ABCO",68.072,"Abies_concolor",50,7.32,1
"6053",0,"2003 - B and B","ABCO",38.1,"Abies_concolor",30,3.66,0
"6054",0,"2003 - B and B","ABCO",44.704,"Abies_concolor",20,3.05,1
"6055",0,"2006 - Shake Table","ABCO",83.82,"Abies_concolor",85,5.79,0
"6056",0,"2006 - Shake Table","ABCO",48.26,"Abies_concolor",45,1.83,1
"6057",0,"2006 - Shake Table","ABCO",86.36,"Abies_concolor",5,0,0
